Token Position,KV Cache Computation Time(ms)
1,5.624771
2,5.920887
3,4.337549
4,4.284620
5,4.291534
6,5.202055
7,8.185625
8,7.969141
9,4.250765
10,6.219387
11,4.285097
12,4.277706
13,5.717039
14,8.193254
15,8.725643
16,4.206419
17,6.108522
18,5.761623
19,4.246473
20,7.153034
21,4.249811
22,4.237652
23,4.239798
24,5.324841
25,8.955479
26,7.697821
27,4.350424
28,5.682945
29,4.201651
30,4.199982
31,6.146431
32,5.810976
33,6.025314
34,5.705357
35,4.236460
36,8.743048
37,4.231453
38,5.705595
39,4.227638
40,4.587889
41,6.007433
42,4.200935
43,8.947611
44,6.744385
45,4.216909
46,5.090952
47,4.178047
48,4.199028
49,6.175518
50,4.215002
51,4.199028
52,6.061077
53,4.226685
54,10.505915
55,5.266905
56,5.109310
57,4.666567
58,4.205704
59,5.824804
60,4.222631
61,8.054495
62,7.337809
63,4.255772
64,4.262209
65,9.196997
66,4.576921
67,5.146503
68,4.701138
69,4.223585
70,4.210472
71,7.310629
72,4.549026
73,4.239082
74,7.175684
75,4.185915
76,9.876251
77,5.597830
78,4.900217
79,4.230022
80,4.246235
81,6.293297
82,4.910231
83,7.288218
84,4.227161
85,4.986048
86,4.727602
87,4.252434
88,4.242420
89,5.755901
90,5.792379
91,5.546808
92,5.668163
93,4.582882
94,5.764484
95,4.199266
96,6.242990
97,4.175901
98,4.219770
99,5.097628
100,4.610777
101,5.868435
102,6.317616
103,4.756212
104,5.076170
105,5.713701
106,4.200697
107,6.105661
108,4.207850
109,4.231215
110,4.948378
111,4.671097
112,9.280443
113,7.734776
114,4.236698
115,10.111570
116,4.385948
117,4.172802
118,6.204605
119,4.227638
120,4.222631
121,5.900860
122,4.602194
123,5.755901
124,4.255533
125,6.030083
126,4.210949
127,4.204035
128,7.004023
129,5.087376
130,9.120464
131,5.251646
132,4.767895
133,4.616261
134,4.202604
135,4.179239
136,5.643129
137,4.623175
138,5.996704
139,4.696369
140,5.615711
141,7.359505
142,4.206657
143,5.480289
144,4.663467
145,4.206419
146,4.227638
147,5.881310
148,4.214764
149,4.198790
150,4.622459
151,4.615784
152,4.208803
153,4.340410
154,6.073952
155,4.420519
156,4.895687
157,5.797625
158,5.552053
159,4.193306
160,8.950949
161,4.638433
162,4.659176
163,4.589558
164,4.198313
165,4.214048
166,5.954981
167,4.185915
168,4.217148
169,5.725861
170,4.466057
171,6.942749
172,5.947590
173,5.642414
174,4.687071
175,7.241011
176,4.249096
177,5.455732
178,6.984234
179,4.220963
180,4.233360
181,5.043507
182,5.842447
183,5.768538
184,5.553722
185,4.903316
186,5.675316
187,4.225016
188,5.250216
189,4.527330
190,4.201651
191,5.147934
192,4.692316
193,7.738829
194,6.899357
195,4.546165
196,5.441904
197,5.732536
198,4.233599
199,4.901409
200,4.633427
201,4.191637
202,4.200697
203,7.040501
204,4.214048
205,4.188776
206,5.414009
207,4.645824
208,6.183386
209,5.805731
210,5.064487
211,5.225182
212,5.717278
213,4.214287
214,4.948378
215,4.690647
216,4.173517
217,4.199982
218,5.631924
219,4.975796
220,5.740404
221,6.075621
222,4.252195
223,8.982182
224,5.093813
225,4.879236
226,4.221916
227,4.191637
228,4.194021
229,5.511999
230,6.568432
231,6.177425
232,5.459785
233,4.922867
234,7.134914
235,4.215956
236,5.175114
237,5.177736
238,4.221916
239,4.186392
